categorieentreprise,geolocetablissement,trancheeffectifsunitelegale,trancheeffectifsunitelegaletriable,siretsiegeunitelegale,siret,etablissementsiege,codepostaletablissement,caractereemployeurunitelegale,datecreationunitelegale,datecreationetablissement,denominationunitelegale,adresseetablissementcomplete
PME,"[48.877168, 2.356375]",1 ou 2 salariés,1,43906720800033,43906720800033,1,75010,1,2001-07-07,2012-09-20,LA TRANSPLANISPHERE,"132 RUE DU FBG SAINT DENIS, 75010 PARIS 10"
Non productif,"[48.853721, 2.376566]",Etablissement non employeur,-1,44099421800020,44099421800012,0,75011,0,2002-02-25,2002-02-25,BI'CAUSE,"3 RUE KELLER, 75011 PARIS 11"
PME,"[48.833001, 2.317492]",1 ou 2 salariés,1,41225282700024,41225282700024,1,75014,1,1997-06-01,2006-02-01,AIDA MENAGE,"6 RUE BOYER BARRET, 75014 PARIS 14"
Non productif,"[43.845392, 4.352096]",Etablissement non employeur,-1,87828065000010,87828065000010,1,30000,1,2019-05-28,2019-05-28,ESPERE UN PEU,"78 RUE MENARD, 30000 NIMES"
PME,"[48.917339, 2.24498]",1 ou 2 salariés,1,53440242500027,53440242500027,1,92700,1,2011-09-01,2018-10-01,MUSIQUE ET CREATION,"55 RUE BRASSAT, 92700 COLOMBES"
Non productif,"[48.85688, 2.368504]",Etablissement non employeur,-1,49471532900046,49471532900046,1,75011,0,2006-12-12,2016-09-27,PARA CLUB DE PARIS,"46 BOULEVARD BEAUMARCHAIS, 75011 PARIS 11"
PME,"[48.853334, 2.362032]",1 ou 2 salariés,1,79447051800034,79447051800034,1,75004,1,2013-02-13,2019-06-05,FEDERATION DES JEUNES PRODUCTEURS INDEPENDANTS,"14 RUE CHARLES-V, 75004 PARIS 4"
Non productif,"[48.826748, 2.306876]",Etablissement non employeur,-1,83851502100015,83851502100015,1,75014,0,2017-11-07,2017-11-07,ASSOCIATION COMORIENNE POUR LE DEVELOPPEMENT,"2 RUE DU GENERAL HUMBERT, 75014 PARIS 14"
Non productif,"[48.855751, 2.407805]",Etablissement non employeur,-1,88949855600022,88949855600022,1,75020,0,2019-06-18,2021-02-18,SILVER-LIVRES,"90 RUE DES ORTEAUX, 75020 PARIS 20"
Non productif,"[48.887294, 2.35508]",Etablissement non employeur,-1,82152014500029,82152014500029,1,75018,1,2016-02-03,2020-10-05,JARDINS D'HIVER,"14 RUE MYRHA, 75018 PARIS 18"
PME,"[48.839791, 2.286862]",1 ou 2 salariés,1,34278863500031,34278863500031,1,75015,1,1987-07-01,2008-10-07,INSTITUT RECHERCHE SUR MOELLE EPINIERE,"23 RUE DURANTON, 75015 PARIS 15"
Non productif,"[48.802994, 2.339687]",Etablissement non employeur,-1,85247450100016,85247450100016,1,94110,0,2019-01-04,2019-01-04,AGORA JOURNAL,"17 AVENUE PAUL VAILLANT COUTURIER, 94110 ARCUEIL"
PME,"[48.895031, 2.323751]",1 ou 2 salariés,1,44828494300041,44828494300041,1,75017,1,1986-06-30,2021-06-23,AMICALE DES PONGISTES DU 17EME A.P.17,"25 RUE LANTIEZ, 75017 PARIS 17"
PME,"[48.844342, 2.279145]",Etablissement non employeur,-1,51147200300025,51147200300025,1,75015,0,1999-06-18,2019-08-08,ARUANDA CAPOEIRA,"29 RUE SEBASTIEN MERCIER, 75015 PARIS 15"
Non productif,"[48.854352, 2.323915]",Etablissement non employeur,-1,90403473300017,90403473300017,1,75007,0,2021-09-13,2021-09-13,"QUI NOUS SAISIT, NOUS SURPREND","94 RUE DU BAC, 75007 PARIS 7"
Non productif,"[48.878971, 2.322289]",Etablissement non employeur,-1,89075658800012,89075658800012,1,75008,0,2020-10-27,2020-10-27,MOUVITE,"50 RUE DE ROME, 75008 PARIS 8"
PME,"[48.893375, 2.338954]",1 ou 2 salariés,1,82863170500047,82863170500047,1,75018,1,2016-11-08,2021-10-06,LES ASTROLIENS,"128 RUE ORDENER, 75018 PARIS 18"
PME,"[48.851685, 2.381569]",1 ou 2 salariés,1,52502732200037,52502732200037,1,75011,1,2010-05-12,2015-05-19,LES MUSI'TERRIENS,"17 RUE SAINT BERNARD, 75011 PARIS 11"
PME,"[48.914432, 2.261339]",1 ou 2 salariés,1,38160443800030,38160443800030,1,92700,1,1990-10-24,2001-04-04,LES HELIADES,"87 RUE FELIX FAURE, 92700 COLOMBES"
PME,"[48.846079, 2.285161]",Etablissement non employeur,-1,53536850000026,53536850000026,1,75015,0,2008-02-08,2020-04-30,ASSO COMMERCANT VILLAGE SAINT CHARLES,"95 RUE SAINT CHARLES, 75015 PARIS 15"
Non productif,"[48.839495, 2.355415]",Etablissement non employeur,-1,88078098600019,88078098600019,1,75005,0,2020-01-15,2020-01-15,MARIE-JOLY,"8 RUE DU FER A MOULIN, 75005 PARIS 5"
PME,"[44.711587, 5.055783]",6 à 9 salariés,3,48750411000049,48750411000031,0,26400,0,2005-07-29,2016-04-30,LES RUSTINES DE L' ANGE,"QUAI LA PIALLE, 26400 AOUSTE-SUR-SYE"
PME,"[48.765936, 2.41007]",3 à 5 salariés,2,81182925800029,81182925800029,1,94600,1,2015-04-20,2019-06-20,CLUSTER EAU-MILIEUX-SOLS PARIS ILE-DE-FRANCE,"2 AVENUE JEAN JAURES, 94600 CHOISY-LE-ROI"
Non productif,"[48.913235, 2.391613]",Etablissement non employeur,-1,89877140700019,89877140700019,1,93300,0,2020-06-11,2020-06-11,ASSOCIATION NEUF TROIS QUARTS,"163 RUE HENRI BARBUSSE, 93300 AUBERVILLIERS"
Non productif,"[48.885303, 2.390922]",Etablissement non employeur,-1,84781763200015,84781763200015,1,75019,0,2018-11-26,2018-11-26,CURSUS,"16 ALLÉE DE FONTAINEBLEAU, 75019 PARIS 19"
Non productif,"[48.886108, 2.382271]",Etablissement non employeur,-1,89512728000017,89512728000017,1,75019,0,2021-02-24,2021-02-24,TENDANCE 19,"123 AVENUE JEAN JAURES, 75019 PARIS 19"
PME,"[48.829122, 2.356852]",1 ou 2 salariés,1,79140335500054,79140335500054,1,75013,0,2012-10-31,2020-11-04,BLASTED !,"19 AVENUE D'ITALIE, 75013 PARIS 13"
Non productif,"[48.847086, 2.385858]",Etablissement non employeur,-1,82540838800015,82540838800015,1,75012,0,2017-01-22,2017-01-22,QUOKKA C EST FACILE D ETRE PARENT D ADO,"106 BOULEVARD DIDEROT, 75012 PARIS 12"
Non productif,"[48.86324, 2.370664]",Etablissement non employeur,-1,87804636600018,87804636600018,1,75011,0,2019-09-04,2019-09-04,PRENDRE UN ELEVE PAR LA MAIN,"48 BOULEVARD VOLTAIRE, 75011 PARIS 11"
Non productif,"[48.86902, 2.368382]",Etablissement non employeur,-1,88836437900014,88836437900014,1,75011,0,2019-10-29,2019-10-29,BLVDR,"36 RUE DU FAUBOURG DU TEMPLE, 75011 PARIS 11"
PME,"[48.934299, 2.356647]",1 ou 2 salariés,1,47986051200033,47986051200033,1,93200,0,2004-07-23,2021-02-14,MIGRATORI K. MERADO,"19 RUE DE LA BOULANGERIE, 93200 SAINT-DENIS"
Non productif,"[48.803411, 2.481341]",Etablissement non employeur,-1,82293141600017,82293141600017,1,94100,0,2012-12-18,2012-12-18,PARISLACK,"32 AVENUE VICTOR HUGO, 94100 SAINT-MAUR-DES-FOSSES"
PME,"[48.908508, 2.36082]",1 ou 2 salariés,1,33267922400052,33267922400052,1,93210,1,1985-01-08,2005-03-11,COMPAGNIE JOLIE MOME,"14 ALLÉE ST JUST, 93210 SAINT-DENIS"
PME,"[48.889373, 2.410019]",Etablissement non employeur,-1,53518011100028,53518011100028,1,93500,1,2011-04-18,2014-11-17,LA COMPAGNIE DE LA PLUIE,"52 RUE JULES AUFFRET, 93500 PANTIN"
Non productif,"[2.276876,48.8583359]",Etablissement non employeur,-1,88425867400016,88425867400016,1,75116,1,2020-06-10,2020-06-10,INGLORIOUS JAZZ STARS,"3 RUE GUICHARD, 75116 PARIS 16"
PME,"[48.92751, 2.387619]",1 ou 2 salariés,1,75102569300043,75102569300043,1,93120,1,2012-05-01,2019-10-17,LES ENFANTS DU PARADIS-COMPAGNIE DE THEATRE,"21 AVENUE GABRIEL PERI, 93120 LA COURNEUVE"
Non productif,"[48.828177, 2.272199]",Etablissement non employeur,-1,50459090200020,50459090200020,1,75015,0,1997-06-16,2021-02-15,SAINT-VINCENT-DE-PAUL - ACCUEIL 15,"20 ALLÉE DES FRERES VOISIN, 75015 PARIS 15"
Non productif,"[48.882193, 2.442934]",Etablissement non employeur,-1,85360307400016,85360307400016,1,93230,0,2018-06-10,2018-06-10,ZOU-LOUP,"27 RUE CAMP, 93230 ROMAINVILLE"
Non productif,"[48.860908, 2.37878]",Etablissement non employeur,-1,88429761500012,88429761500012,1,75011,0,2019-04-02,2019-04-02,POUR L'ART POUR L'AFRIQUE,"7 RUE ROCHEBRUNE, 75011 PARIS 11"
Non productif,"[48.879449, 2.398764]",Etablissement non employeur,-1,51758557600021,51758557600021,1,75019,0,1997-03-16,1998-05-22,GRANDE VIGIE,"59 RUE DU PRE ST GERVAIS, 75019 PARIS 19"
Non productif,"[48.870808, 2.368873]",Etablissement non employeur,-1,87756014400017,87756014400017,1,75010,0,2019-09-09,2019-09-09,INDRA FRANCE,"4 RUE JACQUES LOUVEL TESSIER, 75010 PARIS 10"
Non productif,"[48.891165, 2.383228]",Etablissement non employeur,-1,89860040800014,89860040800014,1,75019,1,2021-03-18,2021-03-18,CHRYSAORA,"3 RUE DE NANTES, 75019 PARIS 19"
PME,"[48.852415, 2.263833]",1 ou 2 salariés,1,45381870000024,45381870000024,1,75016,1,1999-02-20,2016-06-01,L'ENFANT ET LA SHOAH - YAD LAYELED FRANCE,"46 RUE RAFFET, 75016 PARIS 16"
PME,"[48.835809, 2.403104]",1 ou 2 salariés,1,41501415800034,41501415800034,1,75012,1,1997-11-24,2012-10-20,CIE LES ARCHETS A BABORD,"140 RUE DE PICPUS, 75012 PARIS 12"
PME,"[48.880329, 2.359724]",Etablissement non employeur,-1,40066621000010,40066621000010,1,75010,1,1995-01-01,1995-01-01,CARREFOUR X EME,"12 RUE DE L AQUEDUC, 75010 PARIS 10"
Non productif,"[48.867978, 2.35283]",Etablissement non employeur,-1,83860596200011,83860596200011,1,75002,0,2018-01-18,2018-01-18,TETE EN L'ART,"5 RUE DE TRACY, 75002 PARIS 2"
PME,"[48.889153, 2.251671]",1 ou 2 salariés,1,81909008500021,81909008500013,0,92400,1,2016-03-01,2016-03-01,60000 REBONDS ILE DE FRANCE-NORMANDIE-CENTRE,"1 PLACE DES SAISONS, 92400 COURBEVOIE"
Non productif,"[48.869893, 2.30194]",Etablissement non employeur,-1,90351521100022,90351521100014,0,75008,0,2021-09-20,2021-09-20,BOOLOFOOD S.A.S.U,"60 RUE FRANCOIS 1ER, 75008 PARIS 8"
PME,"[48.898478, 2.38288]",Etablissement non employeur,-1,82312437500036,82312437500028,0,75019,0,2016-04-11,2017-02-24,LE BRUIT DU MURMURE,"24 QUAI DE CHARENTE, 75019 PARIS 19"
PME,"[48.876192, 2.414419]",0 salarié,0,80308527300016,80308527300016,1,93260,1,2014-03-11,2014-03-11,W.O.R.K.?,"82 AVENUE PASTEUR, 93260 LES LILAS"
PME,"[48.801242, 2.288604]",Etablissement non employeur,-1,79945494700034,79945494700034,1,92320,1,2013-04-22,2019-09-25,DEBOUT,"1 ALLÉE DE LA FONTAINE, 92320 CHATILLON"
Non productif,"[48.852628, 2.303298]",Etablissement non employeur,-1,52452339600017,52452339600017,1,75007,0,1996-10-04,1996-10-04,LES JEUNES DE L'INSTITUT DES HAUTES ETUDES DE DEFENSE NATIONALE (LES JEUNES IHEDN).,"13 PLACE JOFFRE, 75007 PARIS 7"
Non productif,"[48.871887, 2.377531]",Etablissement non employeur,-1,87761691200029,87761691200011,0,75020,1,2019-02-14,2019-02-14,DROIT A L'ECOLE,"130 BOULEVARD DE BELLEVILLE, 75020 PARIS 20"
PME,"[44.523966, 5.062261]",Etablissement non employeur,-1,82996798300018,82996798300018,1,26220,1,2017-04-19,2017-04-19,BALAGAN,"8 RUE GABRIEL PERI, 26220 DIEULEFIT"
PME,"[43.721864, -1.051793]",6 à 9 salariés,3,80475584100108,80475584100041,0,40990,1,2013-06-11,2020-11-20,COLOSSE AUX PIEDS D'ARGILE,"39 AVENUE DE LA LIBERTE, 40990 SAINT-PAUL-LES-DAX"
Non productif,"[43.50069, 3.70672]",Etablissement non employeur,-1,88131625100019,88131625100019,1,34770,1,2019-04-16,2019-04-16,COMPAGNIE DU VENT CONTRAIRE,"34 RUE DU STADE CARLES, 34770 GIGEAN"
Non productif,"[43.460148, 6.756712]",Etablissement non employeur,-1,82890217100036,82890217100028,0,83600,0,2015-09-18,2019-04-05,COMPAGNIE DU FLAMANT NOIR,"86 AVENUE DU MONT CAPITOLIN, 83600 FREJUS"
PME,"[48.900311, 2.337141]",1 ou 2 salariés,1,82905339600042,82905339600034,0,75018,1,2008-12-23,2019-10-24,MODAFUSION,"12 RUE MAURICE GRIMAUD, 75018 PARIS 18"
Non productif,"[48.882358, 2.358569]",Etablissement non employeur,-1,81314809500017,81314809500017,1,75010,0,2015-06-08,2015-06-08,TANGO UNIONE,"195 RUE DU FBG SAINT DENIS, 75010 PARIS 10"
Non productif,"[48.879447, 2.388665]",Etablissement non employeur,-1,81482633500048,81482633500048,1,75019,1,2014-04-23,2021-06-15,MOUSSE,"76 RUE BOTZARIS, 75019 PARIS 19"
Non productif,"[48.860689, 2.467786]",Etablissement non employeur,-1,89239898300015,89239898300015,1,93100,1,2020-12-20,2020-12-20,COMPAGNIE DES 5 LETTRES,"20 RUE DE LA PATTE D OIE, 93100 MONTREUIL"
Non productif,"[48.86728, 2.35216]",Etablissement non employeur,-1,87803413100028,87803413100028,1,75002,1,2018-11-19,2021-03-05,ASSOCIATION LTF,"8 RUE DU CAIRE, 75002 PARIS 2"
Non productif,"[48.362955, 1.138574]",Etablissement non employeur,-1,52499183300020,52499183300020,1,28240,0,2008-01-19,2020-06-29,COMPAGNIE AMBITUS,"3 RUE DU PERCHE ET DE LA BEAUCE, 28240 LES CORVEES-LES-YYS"
Non productif,"[48.90518, 2.325969]",Etablissement non employeur,-1,81806287900049,81806287900023,0,93400,0,2016-01-20,2017-09-13,POLY PRODUCTION,"20 RUE ALEXANDRE DUMAS, 93400 SAINT-OUEN-SUR-SEINE"
PME,"[48.881784, 2.36872]",Etablissement non employeur,-1,81227229200028,81227229200028,1,75010,1,2015-02-18,2018-05-08,LAMELUNE,"206 QUAI DE VALMY, 75010 PARIS 10"
Non productif,"[48.889107, 2.355712]",Etablissement non employeur,-1,82765280100024,82765280100024,1,75018,1,2015-03-10,2018-08-13,DOUCES AMBIANCES,"3 RUE EMILE DUPLOYE, 75018 PARIS 18"
Non productif,"[48.893852, 2.370239]",Etablissement non employeur,-1,88917238300024,88917238300016,0,75019,0,2020-08-17,2020-08-17,L'ABRI DE L'ESPOIR,"160 RUE D AUBERVILLIERS, 75019 PARIS 19"
PME,"[48.877168, 2.356375]",1 ou 2 salariés,1,82425460100027,82425460100027,1,75010,0,2016-06-15,2017-12-07,CENTRE PHOENIX INSTITUT DE PSYCHOTRAUMATISME ET RESILENCE,"132 RUE DU FBG SAINT DENIS, 75010 PARIS 10"
Non productif,"[48.84441, 2.348436]",Etablissement non employeur,-1,85070223400012,85070223400012,1,75005,0,2019-03-22,2019-03-22,YOUTH FOR GOOD,"9 RUE BLAINVILLE, 75005 PARIS 5"
Non productif,"[48.827343, 2.284702]",Etablissement non employeur,-1,83862097900016,83862097900016,1,92170,0,2017-11-29,2017-11-29,COMPAGNIE FLIES,"17 RUE GABRIELLE D ESTREES, 92170 VANVES"
Non productif,"[48.869271, 2.380969]",Etablissement non employeur,-1,87900454700037,87900454700029,0,75020,1,2019-01-31,2020-09-26,WATIZAT,"1 RUE DES COURONNES, 75020 PARIS 20"
Non productif,"[48.849597, 2.372579]",Etablissement non employeur,-1,82961106000023,82961106000023,1,75012,0,2017-03-11,2021-09-17,SOMETHING MUSICAL,"12 RUE MOREAU, 75012 PARIS 12"
PME,"[48.924141, 2.441827]",3 à 5 salariés,2,39353089400129,39353089400129,1,93700,1,1994-01-03,2012-07-01,SCOUTS MUSULMANS DE FRANCE,"29 ALLÉE MARCEL PAUL, 93700 DRANCY"
PME,"[48.910999, 2.548262]",Etablissement non employeur,-1,52031278600038,52031278600020,0,93390,1,2009-11-24,2011-11-30,ASSOCIATION LA COMPAGNIE DU GRAND SOIR,"3 ALLÉE FERNAND LINDET, 93390 CLICHY-SOUS-BOIS"
PME,"[14.538778, -61.039423]",0 salarié,0,45094968000075,45094968000067,0,97229,1,2003-10-13,2018-02-13,ARTINCIDENCE,"22 LOTISSEMENT TURQUOISE CARAIBES, 97229 LES TROIS-ILETS"
Non productif,"[48.862392, 2.36748]",Etablissement non employeur,-1,88096979500033,88096979500033,1,75011,1,2020-01-14,2020-09-01,GERMINAL,"102 RUE AMELOT, 75011 PARIS 11"
ETI,"[45.730388, 4.766753]",1 000 à 1 999 salariés,42,32735516000067,32735516000067,1,69340,1,1983-01-07,1989-10-16,GROUPE ACCUEIL ET CONFORT POUR PERSONNES AGEES,"7 CHEMIN DU GAREIZIN, 69340 FRANCHEVILLE"
PME,"[48.840636, 2.291008]",6 à 9 salariés,3,82214812800033,82214812800033,1,75015,1,2016-09-01,2020-09-01,ACTION ET TRANSITION,"153 RUE DE LA CROIX NIVERT, 75015 PARIS 15"
PME,"[48.892078, 2.375363]",250 à 499 salariés,32,82298489400011,82298489400011,1,75019,1,2016-09-22,2016-09-22,MEDIAPOLE ILE DE FRANCE,"204 RUE DE CRIMEE, 75019 PARIS 19"
Non productif,"[48.825333, 2.411163]",Etablissement non employeur,-1,45274952600029,45274952600029,1,75012,0,2004-03-26,2018-02-05,VELO CLUB VETERANS PARISIENS,"51 AVENUE DE GRAVELLE, 75012 PARIS 12"
Non productif,"[48.877452, 2.29206]",Etablissement non employeur,-1,89491069400013,89491069400013,1,75017,1,2020-11-24,2020-11-24,CITIZEN4SCIENCE,"6 RUE D ARMAILLE, 75017 PARIS 17"
PME,"[48.8692, 2.304423]",10 à 19 salariés,11,81379240500074,81379240500025,0,75008,1,2014-11-20,2017-04-19,ENTOURAGE,"29 RUE MARBEUF, 75008 PARIS 8"
PME,"[48.852375, 2.37404]",6 à 9 salariés,3,52223008500030,52223008500022,0,75011,0,2009-11-28,2011-09-30,ASSOCIATION POUR LES JEUNES LES ENTREPRENEURS ET L'EMPLOI,"5 RUE DE CHARONNE, 75011 PARIS 11"
Non productif,"[48.849601, 2.384412]",Etablissement non employeur,-1,85202451200018,85202451200018,1,75012,0,2018-12-15,2018-12-15,BE HIGH,"42 RUE CHALIGNY, 75012 PARIS 12"
PME,"[48.869569, 2.437594]",Etablissement non employeur,-1,85340260000029,85340260000011,0,93100,1,2019-08-01,2019-08-01,MASSIVE IMPACT,"27 RUE DU MIDI, 93100 MONTREUIL"
PME,"[48.837937, 2.345009]",1 ou 2 salariés,1,38382042000040,38382042000032,0,75005,1,1991-09-01,2011-05-05,FEDERATION FRANCAISE DE LA PARALYSIE CEREBRALE - PARALYSIE CEREBRALE FRANCE,"68 BOULEVARD DE PORT ROYAL, 75005 PARIS 5"
Non productif,"[48.868181, 2.37409]",Etablissement non employeur,-1,85129669900024,85129669900016,0,75011,1,2019-05-25,2019-05-25,INSOLENCE IS BEAUTIFUL,"60 RUE DE LA FONTAINE AU ROI, 75011 PARIS 11"
Non productif,"[48.893296, 2.132401]",Etablissement non employeur,-1,89158725500029,89158725500011,0,78110,0,2020-10-19,2020-10-19,VELEDA,"57 RUE ALPHONSE PALLU, 78110 LE VESINET"
Non productif,"[48.878705, 2.465341]",Etablissement non employeur,-1,84875233300015,84875233300015,1,93130,1,2019-01-29,2019-01-29,L'ARBRE VERT DU 93,"86 RUELLE BOISSIERE, 93130 NOISY-LE-SEC"
PME,"[48.883526, 2.435116]",1 ou 2 salariés,1,43825011000030,43825011000022,0,93230,1,2000-12-15,2004-03-06,COMPAGNIE INEX-,"14 RUE ABBE HOUEL, 93230 ROMAINVILLE"
Non productif,"[48.87932, 2.392106]",Etablissement non employeur,-1,82910359700029,82910359700011,0,75019,1,2016-10-26,2016-10-26,OPEN FOOD FRANCE,"78 RUE COMPANS, 75019 PARIS 19"
Non productif,"[48.654461, 6.269118]",Etablissement non employeur,-1,90192566900011,90192566900011,1,54510,0,2021-06-10,2021-06-10,CERFIA,"2 ALLÉE DU PRESSOIR, 54510 ART-SUR-MEURTHE"
PME,"[48.82763, 2.371929]",10 à 19 salariés,11,33411238000046,33411238000046,1,75013,1,1986-01-01,2021-01-26,BIBLIOCITE,"66 RUE CANTAGREL, 75013 PARIS 13"
PME,"[48.848837, 2.279715]",20 à 49 salariés,12,80502889100069,80502889100069,1,75015,1,2014-08-09,2021-10-07,WAKE UP CAFE,"6  PORT DE JAVEL, 75015 PARIS 15"
Non productif,"[48.79025, 2.362521]",Etablissement non employeur,-1,84971319300027,84971319300019,0,94800,0,2018-02-05,2018-02-05,LES HUMEURS MASSACRANTES,"8 ALLÉE BERLIOZ, 94800 VILLEJUIF"
PME,"[49.495528, 0.123877]",3 à 5 salariés,2,43384009700052,43384009700045,0,76600,1,2000-09-19,2019-01-01,LA PART DU PAUVRE,"86 RUE CASIMIR DELAVIGNE, 76600 LE HAVRE"
PME,"[48.836308, 2.32137]",Etablissement non employeur,-1,84861869000020,84861869000012,0,75014,1,2019-02-17,2019-02-17,LES CHANTS EGARES,"23 RUE JULES GUESDE, 75014 PARIS 14"
PME,"[48.975428, 2.033215]",200 à 249 salariés,31,40381190400016,40381190400016,1,78570,1,1995-12-07,1995-12-07,PROMOTION METIERS DE LA VILLE,"9 RUE D ANDRESY, 78570 CHANTELOUP-LES-VIGNES"
Non productif,"[48.894975, 2.340423]",Etablissement non employeur,-1,82527219800037,82527219800029,0,75018,0,2016-10-06,2019-10-07,LES ARTS DES LEZARDS,"55 RUE DU POTEAU, 75018 PARIS 18"
PME,"[47.383139, 0.691473]",Etablissement non employeur,-1,84384900100022,84384900100022,1,37000,1,2018-11-10,2019-04-01,COMPAGNIE DES ANIMAUX BIZARRES ET VEHEMENTS,"73 AVENUE DE GRAMMONT, 37000 TOURS"
Non productif,"[48.928265, 2.883235]",Etablissement non employeur,-1,88204367200014,88204367200014,1,77100,1,2020-03-01,2020-03-01,EQUALIS,"400 CHEMIN DE CRECY, 77100 MAREUIL-LES-MEAUX"
PME,"[48.895171, 2.34537]",Etablissement non employeur,-1,85262400600023,85262400600015,0,75018,0,2019-06-12,2019-06-12,VISCERALE,"94 RUE DUHESME, 75018 PARIS 18"
PME,"[48.866932, 2.375622]",1 ou 2 salariés,1,42384579100023,42384579100023,1,75011,1,1999-05-18,2021-12-01,PARIS EST MOUV',"1 PASSAGE DE LA FONDERIE, 75011 PARIS 11"
Non productif,"[48.87103, 2.369134]",Etablissement non employeur,-1,81381206200012,81381206200012,1,75010,0,2015-08-31,2015-08-31,ASPF TRI CLUB,"7 RUE JACQUES LOUVEL TESSIER, 75010 PARIS 10"
PME,"[46.405777, 1.406056]",1 ou 2 salariés,1,50118874200040,50118874200040,1,36170,1,2007-11-21,2016-05-06,COMPAGNIE GRAND TIGRE,"3 ROUTE DE VIGOUX, 36170 PARNAC"
PME,"[48.893325, 2.326428]",1 ou 2 salariés,1,45163893600026,45163893600026,1,75017,1,2003-08-01,2007-09-01,AUTOUR DES WILLIAMS,"10 RUE DE LA JONQUIERE, 75017 PARIS 17"
Non productif,"[48.855965, 2.403833]",Etablissement non employeur,-1,75255469100028,75255469100010,0,75020,0,2012-06-13,2012-06-13,TRANSPORT CHALLENGER,"5 PASSAGE DIEU, 75020 PARIS 20"
PME,"[47.263887, -1.580017]",3 à 5 salariés,2,42502036900053,42502036900046,0,44300,1,1998-04-14,2007-04-24,NON NOVA,"70 AVENUE DU BOUT DES LANDES, 44300 NANTES"
PME,"[48.859871, 2.382505]",1 ou 2 salariés,1,40199770500058,40199770500041,0,75011,1,1995-10-01,2004-06-08,LA COMMUNAUTE INAVOUABLE,"16 RUE SAINT MAUR, 75011 PARIS 11"
PME,"[48.870542, 2.335873]",1 ou 2 salariés,1,81856672100028,81856672100028,1,75002,1,2014-11-26,2021-01-01,ASSOCIATION SAVOIR-ETRE A L'ECOLE,"23 RUE DE CHOISEUL, 75002 PARIS 2"
PME,"[47.155913, 2.341824]",1 ou 2 salariés,1,80055340600029,80055340600029,1,18110,1,2013-04-12,2014-08-19,COMPAGNIE LES ENTICHES,"2 RUE DE LA MAIRIE, 18110 SAINT-ELOY-DE-GY"
Non productif,"[48.871058, 2.357949]",Etablissement non employeur,-1,79997079300011,79997079300011,1,75010,0,2013-08-18,2013-08-18,ECOLE DU WEN WU,"27 RUE BOUCHARDON, 75010 PARIS 10"
PME,"[48.835722, 2.316052]",20 à 49 salariés,12,40878410600069,40878410600051,0,75014,1,1995-12-04,2018-01-01,URGENCE JEUNES,"63 RUE VERCINGETORIX, 75014 PARIS 14"
PME,"[48.864045, 2.362217]",3 à 5 salariés,2,53802564400047,53802564400047,1,75003,1,2011-11-09,2016-06-18,TERRE DE LIENS ILE-DE-FRANCE,"5 RUE PERREE, 75003 PARIS 3"
Non productif,"[48.908029, 2.342064]",Etablissement non employeur,-1,49536632000051,49536632000044,0,93400,0,2006-06-27,2013-05-15,TALON POURPRE,"11 RUE MADELEINE, 93400 SAINT-OUEN-SUR-SEINE"
PME,"[45.991376, 3.285497]",Etablissement non employeur,-1,80262265400027,80262265400027,1,63310,0,2007-10-18,2014-03-15,LOGOS TV,"14 RUE DES CHARMES, 63310 SAINT-CLEMENT-DE-REGNAT"
PME,"[48.848812, 2.373208]",1 ou 2 salariés,1,80758327300030,80758327300022,0,75012,1,2014-01-08,2015-03-10,ASSOCIATION LA COMPAGNIE AVANT L'AUBE,"64 AVENUE LEDRU ROLLIN, 75012 PARIS 12"
PME,"[48.891765, 2.347925]",1 ou 2 salariés,1,80474153600028,80474153600028,1,75018,0,2014-06-04,2017-03-18,COMPAGNIE TABASCO,"85 RUE ORDENER, 75018 PARIS 18"
PME,"[48.870498, 2.419427]",1 ou 2 salariés,1,51084937500025,51084937500017,0,93170,1,2008-10-01,2008-10-01,M3 (M-CUBE),"3 RUE FRANCISCO FERRER, 93170 BAGNOLET"
PME,"[48.885422, 2.336347]",1 ou 2 salariés,1,49983070100029,49983070100011,0,75018,1,2007-07-13,2007-07-13,LA VIE EN CLOWN,"44 RUE DES ABBESSES, 75018 PARIS 18"
Non productif,"[48.85237, 2.334572]",Etablissement non employeur,-1,53881575400014,53881575400014,1,75006,0,2011-05-23,2011-05-23,LE THEATRE EN BULLANT,"7 RUE PRINCESSE, 75006 PARIS 6"
PME,"[48.872654, 2.398764]",6 à 9 salariés,3,78471424800068,78471424800050,0,75020,0,1900-01-01,2010-02-15,FEDERATION FRANCAISE DE SKI NAUTIQUE ET DE WAKEBOARD,"9 RUE DU BORREGO, 75020 PARIS 20"
PME,"[45.78227, 4.839656]",0 salarié,0,81044830800025,81044830800017,0,69300,1,2015-04-01,2015-04-01,COMPAGNIE L'INDECENTE,"24 RUE ROYET, 69300 CALUIRE-ET-CUIRE"
Non productif,"[48.856661, 2.401902]",Etablissement non employeur,-1,81330308800013,81330308800013,1,75020,0,2015-08-20,2015-08-20,LE PAVE DANS LA M'ART,"41 RUE DES ORTEAUX, 75020 PARIS 20"
Non productif,"[48.845577, 2.397369]",Etablissement non employeur,-1,53964470800015,53964470800015,1,75012,0,2000-02-24,2000-02-24,CLUB DES AMIS RANDO ET CULTURE,"13 AVENUE DE ST MANDE, 75012 PARIS 12"
